bot_id,conversation_id,fast_response_time,llm_response_time,server_response_time
482,40503,101,1272,2439
482,40503,59,1147,2163
482,40503,133,1470,2549
482,40503,40,1281,2328
482,40503,68,1124,2211
482,40503,43,1159,2173
482,40503,98,1148,2164
482,40503,74,1188,2173
482,40503,88,2145,3303
482,40503,85,1264,2247
482,40503,64,1367,2932
482,40503,163,1312,2674
482,40500,123,1666,4305
482,40500,51,1436,2439
482,40500,58,1159,2415
482,40500,51,1479,2500
482,40500,84,1906,2885
482,40500,52,1301,2301
482,40500,101,1662,2946
482,40500,54,6526,7502
482,40500,88,1476,2607
482,40500,87,1161,2503
482,40500,56,1386,2541
482,40496,92,1329,2392
482,40494,101,1140,2191
482,40494,62,1436,2607
482,40471,108,1154,2383
482,40471,47,1663,2644
482,40471,51,1949,3364
482,40471,44,1957,3686
482,40471,85,2193,3558
482,40471,56,1075,2092
482,40471,97,1407,5232
482,40471,59,1271,2493
482,40471,82,1283,2947
482,40471,90,1845,2878
482,40471,65,1206,4788
482,40468,93,1285,3301
482,40468,66,1650,5253
482,40456,89,1326,2629
482,40456,42,1312,2310
482,40456,116,1225,2164
560,40454,98,1382,2472
560,40454,68,2673,3659
560,40454,79,2389,3344
560,40454,58,3079,4230
560,40454,79,3872,5021
560,40454,87,3501,4466
560,40454,43,3693,4695
560,40454,62,2470,3488
560,40454,71,4131,5100
560,40454,75,3461,4435
560,40454,68,3863,4862
560,40454,83,3659,4599
560,40454,79,3666,4627
560,40454,66,4278,5166
560,40454,44,2607,3610
560,40454,81,3668,4765
560,40454,68,3469,4413
560,40454,70,4405,5254
560,40454,44,4249,5403
560,40454,83,3198,4128
631,40449,104,1451,2625
631,40449,79,1970,2956
631,40449,37,1968,2959
631,40449,67,1351,2333
631,40449,82,1581,2636
631,40449,62,1370,2294
631,40449,67,1370,2364
631,40449,74,2275,3449
631,40449,83,1501,2514
631,40449,56,1324,2250
631,40449,53,1309,2379
631,40449,59,1554,2606
631,40449,62,1416,2343
631,40449,52,1436,2415
631,40449,87,1498,2530
631,40449,64,1826,2775
631,40449,45,1428,2459
631,40449,68,1350,2434
631,40449,45,3295,4217
631,40449,73,1332,2346
631,40449,78,1656,2547
417,40448,144,1250,2547
417,40448,32,1529,1830
417,40448,33,1254,2134
417,40448,36,1304,1630
417,40448,29,1281,2278
631,40445,101,1473,2561
631,40445,86,1356,2322
631,40445,40,1581,2584
631,40445,63,1206,2173
631,40445,67,1556,2914
482,40442,93,1543,2604
519,40440,104,2752,3856
519,40440,77,1263,2194
519,40440,66,1622,2711
519,40440,62,1335,2212
519,40440,57,1380,2335
519,40440,63,1407,2365
519,40440,57,1551,2701
519,40440,57,1385,2382
519,40440,80,1269,2297
482,40438,92,1334,2234
482,40438,47,1517,2488
482,40438,32,1242,2163
519,40435,106,2031,3319
519,40435,90,1361,2341
519,40435,67,2517,3679
519,40435,64,1412,2267
519,40435,54,1538,2984
519,40435,59,3978,5059
519,40435,62,1299,2181
519,40435,53,1349,2375
519,40435,96,1477,2451
519,40435,72,1621,2669
519,40435,75,1337,2322
519,40435,62,1628,2619
519,40435,62,1403,2375
519,40435,69,1393,2336
519,40435,71,1761,2716
519,40435,49,1633,2699
519,40435,76,1818,3081
519,40435,66,2499,3425
519,40435,63,1456,2436
519,40435,56,1350,2271
519,40435,55,2871,3789
519,40435,65,1779,2706
519,40435,57,1450,2400
519,40435,61,1368,2454
519,40435,73,1654,2757
519,40435,95,1830,2781
572,40426,141,1655,2613
572,40426,55,2266,3225
572,40426,61,1515,2499
572,40426,89,2583,3794
572,40426,81,1517,2656
572,40426,65,1974,2833
572,40426,57,2404,3498
572,40426,98,1795,2767
572,40425,112,2125,3027
572,40425,67,1459,2371
572,40425,35,1503,2662
631,40423,102,1274,2422
631,40423,84,1360,2263
631,40423,62,1316,2362
631,40423,68,1387,2482
631,40423,58,1475,2436
631,40423,70,3394,4344
631,40423,64,1384,2347
631,40423,69,1625,2487
631,40423,36,2256,3414
631,40423,83,1595,2595
631,40423,36,1251,2296
631,40423,63,1251,2186
631,40423,51,1404,2397
631,40423,54,1173,2083
631,40423,45,1357,2311
631,40423,56,1395,2330
631,40423,43,1437,2362
559,40419,138,3273,4518
559,40419,90,1233,2412
559,40419,57,1470,2610
519,40416,109,1280,2444
519,40416,74,2198,3091
519,40416,46,1474,2490
519,40416,60,1411,2305
519,40416,50,1378,2348
519,40416,45,1387,2298
519,40416,54,1575,2533
519,40416,51,1376,2397
519,40416,84,1266,2216
519,40416,57,1467,2491
519,40416,82,1773,2658
519,40416,59,1425,2361
519,40416,72,1777,2759
519,40416,61,1776,2730
519,40416,70,1356,2293
519,40416,66,2345,3253
519,40416,86,1593,2493
519,40416,45,1389,2351
519,40416,63,1515,2471
519,40416,40,1426,2402
519,40416,90,1365,2584
519,40416,60,1388,2341
519,40416,59,2634,3570
519,40416,68,1403,2500
519,40416,92,2747,3894
572,40415,120,1533,2409
572,40415,36,1386,2269
519,40414,97,1501,2610
519,40414,55,1435,2633
519,40414,51,1414,2402
519,40414,54,1454,2387
519,40414,34,1218,2146
572,40410,131,1934,2818
572,40410,47,1378,2249
572,40410,54,1489,2486
519,40408,98,1350,2416
519,40408,59,1372,2408
519,40408,65,1462,2551
519,40408,77,1242,2338
572,40407,148,1234,2365
572,40407,76,1422,2417
572,40407,41,1868,2949
572,40402,129,1486,2472
519,40399,125,1663,3028
519,40399,85,1397,2400
519,40399,141,1495,2398
519,40399,55,1383,2492
519,40398,108,1588,2807
519,40397,111,1603,2719
519,40393,113,1976,3129
519,40393,77,1230,2283
519,40391,103,1549,2731
519,40391,73,1330,2297
519,40391,88,1475,2462
396,40390,60,1681,2654
519,40388,109,1346,2534
519,40388,88,1895,2932
519,40388,64,1979,3566
519,40388,79,1493,2403
519,40388,44,1484,2480
519,40388,40,1346,2225
519,40385,109,1350,2616
519,40385,60,1303,2216
519,40385,45,1445,2467
519,40385,66,1849,2757
519,40385,38,2058,3031
519,40385,59,1331,2659
519,40385,41,1259,2165
519,40385,58,2517,3596
519,40385,60,1901,2879
519,40385,68,1682,3859
519,40382,107,1985,3198
519,40382,75,1357,2407
519,40382,72,1879,2882
519,40382,70,1793,2706
519,40380,111,2183,3291
519,40380,80,1475,2540
519,40380,67,1200,2285
519,40379,109,1328,2559
519,40379,85,1793,2958
519,40377,106,2057,3110
519,40377,55,1472,2402
519,40377,61,1325,2504
519,40372,109,1504,2648
519,40372,75,1745,2777
519,40372,43,1360,2326
519,40372,45,1278,2179
519,40372,50,1433,2610
519,40372,59,1443,2395
519,40371,111,1230,2382
572,40369,138,1841,3053
572,40369,56,2197,3117
519,40366,118,1200,2375
519,40366,113,1348,2597
519,40366,62,1291,2367
519,40365,108,1500,2607
519,40365,79,1189,2091
519,40365,78,1981,3013
519,40365,76,1366,2266
519,40365,66,1499,2523
519,40365,65,1253,2199
519,40365,59,2702,3639
519,40363,88,1495,2542
519,40363,52,1451,2417
519,40363,48,1397,2383
519,40361,93,1299,2310
519,40361,60,1418,2354
519,40361,45,1588,2570
519,40361,44,1479,2425
519,40361,34,1389,2327
519,40360,90,1264,2303
482,40359,117,1184,2097
482,40359,34,1081,2026
482,40359,38,1151,2127
482,40359,45,1360,2422
482,40359,43,1140,2189
482,40359,115,1385,2350
482,40359,63,1577,2811
482,40359,83,1245,2233
482,40359,47,1400,2354
482,40359,89,1211,2274
519,40357,109,1465,2504
482,40352,90,1292,2241
482,40352,39,1350,2429
482,40352,101,1293,2216
482,40352,41,1127,2177
482,40352,86,1470,2519
482,40352,115,1183,2577
482,40352,113,1155,2312
482,40352,88,2097,3131
482,40352,56,1509,2688
482,40352,122,1407,2337
572,40351,163,2472,3799
572,40351,69,1491,2597
572,40351,62,2254,3215
572,40351,86,1397,2668
572,40351,99,1375,2326
572,40351,76,1523,2884
572,40351,60,1461,2881
572,40350,144,1509,2854
572,40350,36,2162,3224
572,40350,63,1601,2956
572,40350,86,2293,3431
572,40350,83,1499,2428
572,40350,41,2100,3135
572,40350,61,2128,3234
519,40340,113,1735,3083
519,40335,110,2122,3268
519,40334,109,1798,2865
631,40332,104,1732,2792
631,40332,84,1297,2252
631,40332,90,1272,2318
631,40332,67,1287,2232
631,40332,53,1446,2440
519,40330,123,1423,2572
519,40326,98,1425,2414
482,40324,88,1219,2314
482,40324,63,1391,2389
482,40324,41,1267,2271
482,40324,44,1080,2078
482,40324,84,1067,2019
482,40324,45,1299,2311
519,40322,111,1333,2577
519,40319,86,2376,3425
519,40319,74,1619,2585
519,40319,55,1974,2940
519,40319,60,1463,2351
519,40319,41,1284,2369
519,40319,37,1314,2637
519,40319,35,1406,2438
519,40318,118,1354,
482,40266,91,1229,2210
482,40264,95,1073,2009
482,40264,82,1324,2329
482,40264,80,1256,2262
482,40263,89,1282,2282
482,40263,63,1675,2667
482,40263,106,1485,2462
482,40263,43,1353,2329
482,40263,101,1271,2157
482,40263,47,1451,
630,40251,136,1709,2696
630,40251,88,2236,3209
630,40251,44,1310,2185
630,40250,134,1396,2399
630,40249,126,1627,2751
519,40240,113,1700,2826
519,40240,77,2953,3873
519,40240,64,1446,2418
519,40240,64,1313,2214
519,40240,56,1539,2535
519,40240,61,2405,3478
519,40240,58,1365,2260
519,40240,55,1445,2650
519,40240,78,1848,2808
519,40240,70,1442,2466
519,40240,73,1210,2110
519,40240,66,1381,2296
482,40234,101,1474,2573
482,40234,43,1419,2311
482,40234,46,1677,2679
482,40234,61,1708,2642
482,40234,65,2045,3028
482,40234,86,1306,2256
482,40234,62,1241,2232
